# Constructed from biom file																														
#OTU ID	C021-S239-L001	C022-S245-L001	C002-S256-L001	C003-S262-L001	C001-S250-L001	C041-S228-L001	C011-S268-L001	C023-S251-L001	C043-S240-L001	C052-S252-L001	C051-S246-L001	C053-S258-L001	C042-S234-L001	C031-S257-L001	C012-S227-L001	C013-S233-L001	T011-S235-L001	C033-S269-L001	W011-S259-L001	T021-S241-L001	W012-S265-L001	T041-S253-L001	T031-S247-L001	W021-S271-L001	C061-S264-L001	C063-S229-L001	W031-S236-L001	W022-S230-L001	C062-S270-L001	W032-S242-L001
ca016b0f74afc40eb2a93bd6dcbeba29	19	0	0	0	0	11	0	6	34	0	1	0	0	0	13	7	0	1	0	0	0	0	0	0	0	0	0	2	0	0
6723e71d5fcd3bfaef5910d44452c88e	19	0	0	0	0	3	14	40	4	10	9	0	0	0	42	11	0	15	0	0	2	0	0	1	13	0	11	9	8	7
1403cba7c3ea8be22a609fa2b2fe96cf	19	984	0	1	0	41	0	117	70	90	183	37	11	1911	0	14	0	18	0	0	3	0	0	3	312	118	12	38	9	34
4c03b05e49ae65d86f9bf243eb99a6ef	19	0	0	0	0	2	14	8	3	5	0	0	2	0	23	34	0	13	0	0	0	0	0	0	0	0	0	5	9	5
5d4ba3d32ce82e992895034c48e220b5	19	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0130a19d24ed31e48c19015a7014ef30	19	9	0	0	0	17	28	27	459	0	10	9	8	83	64	27	0	45	0	0	1	0	0	6	91	0	5	22	5	9
aaaafd21579ee34ea8299c1bf666c6f9	19	0	0	0	0	4	4	0	2	0	0	1	0	4	0	0	0	0	4	0	13	0	0	2	0	0	0	3	2	16
793a660a829a19c64fdd00b8c946f369	19	0	0	0	0	18	0	11	41	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0
1c3e5dc87e97f0701b72528c3584ecf1	19	0	0	0	0	54	0	20	42	0	1	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	2	0	0	0
041050ef374ffbb1bbc93c5e345271b0	19	0	0	0	0	18	39	70	11	34	8	42	19	6	70	73	0	67	1	0	0	0	0	6	24	0	4	40	31	3
3750a1ba857c8ab5243786f059785791	19	0	0	0	0	28	0	33	78	0	3	6	0	0	0	43	0	35	0	0	0	0	0	4	32	0	0	8	0	0
d5e209a42afe5c91a7cf68c7191a8452	19	2	0	0	0	0	0	19	16	0	4	0	0	0	37	27	0	3	0	0	0	0	0	0	4	0	0	2	0	0
a534aaab6201abca2f4f9be14a429f28	18	0	0	0	0	2	0	4	26	0	0	0	0	0	38	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
c399b908bb76cb1a2307ba6687ccaf80	18	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
84d3526ca2d52dc4c1929ec75ddcee45	18	0	0	0	0	14	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
f22a8ddaecca9f4f906184a6307aa8e8	18	0	0	0	0	21	1	229	120	0	13	0	0	0	36	138	0	29	0	0	0	0	0	0	0	0	0	4	0	1
7c8f403256ce863e7e69f2767b9a0bb5	18	1	2	0	0	0	16	28	0	0	0	0	0	9	42	53	0	15	0	0	0	2	0	7	0	0	0	0	0	0
bd8239011f6106e56e4b2c10e7ad540a	18	0	0	0	0	0	3	4	8	0	1	0	1	7	3	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0
1b4d7d665e8f191899117282cf514a5b	18	0	0	0	0	17	0	4	38	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	3
6d4acdacf10022bb09d6e5386ef0c01e	18	0	0	0	0	8	3	19	9	4	4	3	1	0	6	10	0	30	0	0	0	0	0	0	18	0	4	21	4	7
ce34fea99c43eeff0613619eb5438023	18	0	0	0	0	11	0	13	71	0	1	2	0	0	5	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0
643e87bfdd94d4c97e97fe0041441fc5	18	0	0	0	0	15	0	30	45	0	0	0	0	0	0	0	0	50	0	0	0	0	0	1	0	0	0	0	1	0
19ec4fe2401d49cb93afce6318476cc5	18	0	0	0	0	41	0	34	141	2	13	1	0	0	28	29	0	163	0	0	0	0	0	0	43	0	0	2	2	2
5474b983b2cba7cd0c63b01302ca1d41	18	2	1	0	0	1	0	1	0	0	0	2	0	2	2	1	0	25	5	0	3	0	0	0	0	0	0	14	0	0
81ef23f028c2d80bf37844d67b8af128	18	5	2	0	0	3	10	12	3	5	0	13	1	18	42	14	0	13	4	0	7	0	0	3	0	0	0	19	8	12
61633a9bbe32078d486326badafb113c	18	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3b7f67b25b318d7b9126df7135dae7b2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	15	0	0	1	0	0	2	5	0	0	0	0	0
2f4ee6a80fed9ac9b02cb2e3dde28bce	17	0	0	0	0	0	0	10	11	2	1	0	0	0	0	6	0	11	1	0	2	0	0	0	1	0	0	0	0	0
eb17788087b4e2323ad795ccd7722178	17	12	0	0	0	18	0	53	36	12	8	48	0	4	36	13	0	12	0	0	0	0	0	7	0	89	6	7	21	0
aa2b223d2bb668aa7b232c8c7ae054f9	17	0	0	0	0	7	2	4	5	1	0	3	0	0	3	1	0	14	0	0	1	0	0	1	4	0	1	2	1	0
9bc2dc3b87c7887b30f55b5df58bbdd7	17	0	0	0	0	20	0	169	88	0	4	0	0	0	64	0	0	72	0	0	0	0	0	0	0	54	0	0	0	3
b8d703c6073df634de74eced52d4eeae	17	1	0	0	0	2	0	7	0	7	0	16	0	1	1	2	0	22	76	0	302	0	0	44	0	0	20	103	4	20
bffa80f772aa9bdf6ca3a3bb5050aca4	17	0	0	0	0	8	0	28	24	0	0	0	0	0	11	40	0	16	1	0	0	0	0	0	0	0	0	0	0	0
fdcf3cb34529e911aa19cdfa1577c90b	17	0	0	0	0	1	0	9	0	13	0	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0
1b35d8b597b74f7bcb637f7433cfea0e	17	3	23	10	9	0	12	11	0	16	0	20	0	0	15	24	12	7	5	0	8	0	0	2	49	0	10	15	13	43
d1325bee436ede3e5400349cade28882	17	13	26	1	0	5	15	44	3	24	8	13	1	18	11	11	16	26	0	0	3	0	0	3	16	1	7	23	13	4
dcb87cf2ac1b019b93811a2ae5359405	17	15	0	0	0	10	2	26	25	4	0	24	0	16	8	31	0	23	2	0	20	1	0	10	1	0	1	20	6	9
213ad8a367f078b75d8ff1b2d382fcea	16	0	0	0	0	3	0	6	15	2	3	0	0	39	1	0	0	0	0	0	0	0	0	5	9	25	2	1	0	3
e4d46d51c683ccb8622535ed12608e0e	16	0	0	0	0	0	0	5	0	0	0	0	0	5	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ec7d5f8a5393369eb288aefa17b62e78	16	1	0	0	0	18	5	7	0	2	0	7	1	8	3	7	0	2	0	0	0	0	0	0	0	0	0	3	2	0
55654ac460ff118752508d1b6afc94c6	16	0	0	0	0	4	1	32	15	5	7	9	0	1	35	12	0	14	0	0	0	0	0	3	5	0	0	11	7	0
434f6146e9e81674493a336baa7c75f8	16	3	0	0	0	0	0	1	14	0	0	8	0	4	9	13	0	28	4	0	76	0	0	8	0	1	0	27	0	19
1bea55fde1d28fe894db1f5cfdf1e488	16	199	0	1	0	52	8	62	23	20	46	24	10	171	18	21	0	39	6	0	6	0	0	2	10	39	6	6	12	3
b475070fbcd4c577499dec6830c46039	16	15	20	8	9	30	50	78	40	63	2	37	3	8	112	134	16	42	1	0	2	0	0	10	1	26	75	89	83	94
48afc2f15258ef79892c3c1e5f4a5f90	16	7	0	0	0	8	23	28	74	2	5	6	2	4	94	14	0	8	0	0	0	0	0	0	1	0	0	4	2	4
72000719578f0bee882eabedfda52d92	16	0	0	5	0	8	0	4	35	7	4	6	3	0	26	24	0	1	2	0	1	0	0	20	4	6	26	8	48	21
067952c186cdafe25a1a9ef09ce65ab5	16	0	0	2	0	0	0	8	0	1	0	0	0	0	1	17	0	9	0	0	0	0	0	1	0	0	0	0	0	0
e8f69e1332efb85378ade4cfe3da0de9	16	0	1	5	0	12	43	42	24	0	4	2	0	0	141	8	2	38	0	0	0	0	0	2	0	0	3	15	0	5
3232b6bf7d286d07c74d7d0ac2d8e25f	15	0	0	0	0	13	0	1	56	2	0	0	0	0	0	1	0	46	0	0	0	0	0	4	5	0	0	1	0	0
246d2bb4fc2e49c92d1bb873d33ee3bc	15	0	0	0	0	12	0	0	37	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	1	2	0	2
9b13fdbf952333c8e21f4cdd21987af1	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ef0590401f255055530b53b9aa1eae88	15	0	0	0	0	6	0	1	6	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4	0	2	4	0	0
60d4004ade3ac487c6da37195846fe06	15	3	0	0	0	3	5	12	6	28	2	2	0	2	0	7	0	30	0	0	0	0	0	1	5	0	7	6	37	9
87745fc74550b857b38bf6ec31572b6a	15	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7b95c6dde2cfcd4bcb39a4f181ecb6d3	15	0	0	0	0	15	0	23	22	0	8	0	0	0	10	2	0	21	0	0	0	0	0	0	5	0	0	2	0	0
3b10f362355ce957506b8a43e8e09fab	15	0	0	0	0	1	1	8	7	1	0	1	0	2	3	5	0	2	0	0	0	0	0	1	0	0	3	3	0	4
