Feature ID	Taxon	Confidence						
1403cba7c3ea8be22a609fa2b2fe96cf	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nitrosococcales	f__Nitrosococcaceae	g__wb1-P19	s__	0.9993844484688406
4c03b05e49ae65d86f9bf243eb99a6ef	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	0.9999962987207529		
5d4ba3d32ce82e992895034c48e220b5	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.8845164302361053
0130a19d24ed31e48c19015a7014ef30	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	0.9996667440055143		
aaaafd21579ee34ea8299c1bf666c6f9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__	0.999998944
793a660a829a19c64fdd00b8c946f369	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9998198277319819
1c3e5dc87e97f0701b72528c3584ecf1	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Thermoanaerobaculales	f__Thermoanaerobaculaceae	g__Subgroup_10	s__	0.9990323685474949
041050ef374ffbb1bbc93c5e345271b0	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9978701950056269
3750a1ba857c8ab5243786f059785791	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9411323252222479
d5e209a42afe5c91a7cf68c7191a8452	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.987640556
a534aaab6201abca2f4f9be14a429f28	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__Subgroup_7	g__Subgroup_7	s__	0.9937658103413856
c399b908bb76cb1a2307ba6687ccaf80	d__Bacteria	p__Latescibacterota	c__Latescibacterota	o__Latescibacterota	f__Latescibacterota	g__Latescibacterota	s__	0.9984699643960184
84d3526ca2d52dc4c1929ec75ddcee45	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__WX65	g__WX65	s__	0.9999643609678254
f22a8ddaecca9f4f906184a6307aa8e8	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PLTA13	f__PLTA13	g__PLTA13	s__	0.9998123223275998
7c8f403256ce863e7e69f2767b9a0bb5	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhizobacter	s__	0.833472158
bd8239011f6106e56e4b2c10e7ad540a	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	0.9999802718066119		
1b4d7d665e8f191899117282cf514a5b	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Thermoanaerobaculales	f__Thermoanaerobaculaceae	g__Subgroup_10	s__	0.9985276239367683
6d4acdacf10022bb09d6e5386ef0c01e	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup_12	f__Subgroup_12	g__Subgroup_12	s__	0.9999947720676465
ce34fea99c43eeff0613619eb5438023	d__Bacteria	p__Chloroflexi	c__Gitt-GS-136	o__Gitt-GS-136	f__Gitt-GS-136	g__Gitt-GS-136	s__	0.9999999328981369
643e87bfdd94d4c97e97fe0041441fc5	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__Subgroup_7	g__Subgroup_7	s__	0.9942163228522052
19ec4fe2401d49cb93afce6318476cc5	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.7382473190215203
5474b983b2cba7cd0c63b01302ca1d41	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__	0.9818589471457847
81ef23f028c2d80bf37844d67b8af128	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__uncultured	s__	0.9827511447902808
61633a9bbe32078d486326badafb113c	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__TRA3-20	g__TRA3-20	s__	0.9979746353799125
3b7f67b25b318d7b9126df7135dae7b2	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	0.9999484643287988		
2f4ee6a80fed9ac9b02cb2e3dde28bce	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__uncultured	s__	0.9992288012919681
eb17788087b4e2323ad795ccd7722178	d__Bacteria	p__Acidobacteriota	c__Subgroup_11	o__Subgroup_11	f__Subgroup_11	g__Subgroup_11	s__	0.9999896915493717
aa2b223d2bb668aa7b232c8c7ae054f9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	0.9733788057904389
9bc2dc3b87c7887b30f55b5df58bbdd7	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9768953616811922
b8d703c6073df634de74eced52d4eeae	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cytophagaceae	g__Cytophaga	s__	0.9875158944604232
bffa80f772aa9bdf6ca3a3bb5050aca4	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999867097704777
fdcf3cb34529e911aa19cdfa1577c90b	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	0.9999927993615868		
1b35d8b597b74f7bcb637f7433cfea0e	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__uncultured	s__	0.975448567
d1325bee436ede3e5400349cade28882	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__	0.9804156967115479
dcb87cf2ac1b019b93811a2ae5359405	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	0.9999936773163146		
213ad8a367f078b75d8ff1b2d382fcea	d__Bacteria	p__Armatimonadota	c__uncultured	o__uncultured	f__uncultured	g__uncultured	s__	0.9967414636499669
e4d46d51c683ccb8622535ed12608e0e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	0.9813211359726769
ec7d5f8a5393369eb288aefa17b62e78	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__uncultured	s__	0.9591790860609996
55654ac460ff118752508d1b6afc94c6	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	0.9980813068085945		
434f6146e9e81674493a336baa7c75f8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	0.7563379614043788
1bea55fde1d28fe894db1f5cfdf1e488	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__67-14	g__67-14	s__	0.7358941875444832
b475070fbcd4c577499dec6830c46039	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.825304079
48afc2f15258ef79892c3c1e5f4a5f90	d__Bacteria	p__Actinobacteriota	c__MB-A2-108	o__MB-A2-108	f__MB-A2-108	g__MB-A2-108	s__	0.9999184954900495
72000719578f0bee882eabedfda52d92	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__KF-JG30-B3	g__KF-JG30-B3	s__	0.9999988569083481
067952c186cdafe25a1a9ef09ce65ab5	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999991597938851
e8f69e1332efb85378ade4cfe3da0de9	d__Bacteria	0.9999999997286495						
3232b6bf7d286d07c74d7d0ac2d8e25f	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup_2	f__Subgroup_2	g__Subgroup_2	s__	0.9999957441522337
246d2bb4fc2e49c92d1bb873d33ee3bc	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__B1-7BS	g__B1-7BS	s__	0.9969662650610857
9b13fdbf952333c8e21f4cdd21987af1	d__Bacteria	p__GAL15	c__GAL15	o__GAL15	f__GAL15	g__GAL15	s__	0.9999995016146775
ef0590401f255055530b53b9aa1eae88	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__uncultured	s__	0.9936618746643829
